"filename", "language", "CSS", "JSON", "JavaScript", "Markdown", "HTML", "Vue", "SCSS", "comment", "blank", "total"
"c:\Users\LENOVO\Desktop\北理课程\面向对象技术\知乎项目web端\fakezhihu-vue-master\README.md", "Markdown", 0, 0, 0, 22, 0, 0, 0, 0, 7, 29
"c:\Users\LENOVO\Desktop\北理课程\面向对象技术\知乎项目web端\fakezhihu-vue-master\babel.config.js", "JavaScript", 0, 0, 5, 0, 0, 0, 0, 0, 1, 6
"c:\Users\LENOVO\Desktop\北理课程\面向对象技术\知乎项目web端\fakezhihu-vue-master\package-lock.json", "JSON", 0, 12518, 0, 0, 0, 0, 0, 0, 1, 12519
"c:\Users\LENOVO\Desktop\北理课程\面向对象技术\知乎项目web端\fakezhihu-vue-master\package.json", "JSON", 0, 54, 0, 0, 0, 0, 0, 0, 1, 55
"c:\Users\LENOVO\Desktop\北理课程\面向对象技术\知乎项目web端\fakezhihu-vue-master\public\index.html", "HTML", 0, 0, 0, 0, 16, 0, 0, 1, 1, 18
"c:\Users\LENOVO\Desktop\北理课程\面向对象技术\知乎项目web端\fakezhihu-vue-master\src\App.vue", "Vue", 0, 0, 0, 0, 0, 33, 0, 0, 5, 38
"c:\Users\LENOVO\Desktop\北理课程\面向对象技术\知乎项目web端\fakezhihu-vue-master\src\assets\css\MainHeader.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\LENOVO\Desktop\北理课程\面向对象技术\知乎项目web端\fakezhihu-vue-master\src\assets\css\base.css", "CSS", 72, 0, 0, 0, 0, 0, 0, 0, 12, 84
"c:\Users\LENOVO\Desktop\北理课程\面向对象技术\知乎项目web端\fakezhihu-vue-master\src\assets\css\normalize.css", "CSS", 143, 0, 0, 0, 0, 0, 0, 126, 73, 342
"c:\Users\LENOVO\Desktop\北理课程\面向对象技术\知乎项目web端\fakezhihu-vue-master\src\axios\apis.js", "JavaScript", 0, 0, 30, 0, 0, 0, 0, 19, 3, 52
"c:\Users\LENOVO\Desktop\北理课程\面向对象技术\知乎项目web端\fakezhihu-vue-master\src\axios\service.js", "JavaScript", 0, 0, 12, 0, 0, 0, 0, 2, 2, 16
"c:\Users\LENOVO\Desktop\北理课程\面向对象技术\知乎项目web端\fakezhihu-vue-master\src\components\Editor\EditorHeader.vue", "Vue", 0, 0, 0, 0, 0, 81, 0, 22, 4, 107
"c:\Users\LENOVO\Desktop\北理课程\面向对象技术\知乎项目web端\fakezhihu-vue-master\src\components\Editor\RichTextEditor.vue", "Vue", 0, 0, 0, 0, 0, 50, 0, 3, 1, 54
"c:\Users\LENOVO\Desktop\北理课程\面向对象技术\知乎项目web端\fakezhihu-vue-master\src\components\MainHeader.vue", "Vue", 0, 0, 0, 0, 0, 246, 0, 25, 6, 277
"c:\Users\LENOVO\Desktop\北理课程\面向对象技术\知乎项目web端\fakezhihu-vue-master\src\components\MainList.vue", "Vue", 0, 0, 0, 0, 0, 26, 0, 0, 2, 28
"c:\Users\LENOVO\Desktop\北理课程\面向对象技术\知乎项目web端\fakezhihu-vue-master\src\components\Main\IconButtons.vue", "Vue", 0, 0, 0, 0, 0, 80, 0, 0, 1, 81
"c:\Users\LENOVO\Desktop\北理课程\面向对象技术\知乎项目web端\fakezhihu-vue-master\src\components\Main\MainListNav.vue", "Vue", 0, 0, 0, 0, 0, 54, 0, 0, 2, 56
